,Projeto_ID,Data_Inicial,Data_Conclusao,Orcamento,Categoria,Recurso_ID,Nome,Funcao,Custo_Hora,Data_Alocacao,Horas_Alocadas,Mes_Alocacao,Ano_Alocacao
0,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,1,Davi Lucca Gomes,Pedreiro,88.66,2022-03-30,94.0,3,2022
1,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,2,Luiza Farias,Pedreiro,79.33,2022-05-26,12.0,5,2022
2,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,3,Sr. João Gabriel Novaes,Encanador,99.61,2022-04-14,98.0,4,2022
3,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,4,Sr. Kevin Farias,Encanador,93.42,2022-03-25,29.0,3,2022
4,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,5,Maria Fernanda Caldeira,Arquiteto,62.41,2022-06-06,31.0,6,2022
5,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,6,Heitor Sales,Engenheiro Civil,120.68,2022-02-20,93.0,2,2022
6,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,7,Felipe Pires,Pedreiro,79.18,2022-05-04,34.0,5,2022
7,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,8,Cauê da Luz,Engenheiro Civil,119.99,2022-03-23,56.0,3,2022
8,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,9,Maria Alice Cardoso,Engenheiro Civil,112.34,2022-01-04,87.0,1,2022
9,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,10,Dr. João Lucas Rodrigues,Pedreiro,56.35,2022-04-13,88.0,4,2022
10,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,11,Milena Martins,Engenheiro Civil,77.41,2022-03-18,58.0,3,2022
11,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,12,Sra. Brenda Melo,Arquiteto,145.4,2022-05-21,19.0,5,2022
12,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,13,Eloah Viana,Engenheiro Civil,111.07,2022-02-21,53.0,2,2022
13,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,14,Amanda Ribeiro,Encanador,62.47,2022-02-28,41.0,2,2022
14,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,15,Nicolas Almeida,Pedreiro,67.82,2022-04-16,58.0,4,2022
15,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,16,Yuri Freitas,Arquiteto,118.66,2022-05-02,75.0,5,2022
16,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,17,Bernardo da Conceição,Encanador,142.88,2022-03-07,16.0,3,2022
17,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,18,Larissa Ramos,Arquiteto,75.04,2022-05-12,79.0,5,2022
18,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,19,Lucas Gabriel Dias,Engenheiro Civil,94.59,2022-02-21,50.0,2,2022
19,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,20,Pedro Silveira,Encanador,135.31,2022-05-17,79.0,5,2022
20,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,21,Milena Alves,Engenheiro Civil,57.52,2022-02-07,39.0,2,2022
21,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,22,Helena Costa,Encanador,137.41,2022-06-07,49.0,6,2022
22,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,23,Noah Araújo,Engenheiro Civil,127.71,2022-05-09,41.0,5,2022
23,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,24,Laura Almeida,Pedreiro,54.43,2022-05-11,47.0,5,2022
24,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,25,João Pedro Porto,Pedreiro,119.64,2022-05-08,27.0,5,2022
25,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,26,Dr. Erick Aragão,Encanador,139.66,2022-06-11,39.0,6,2022
26,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,27,Emanuel Azevedo,Encanador,122.93,2022-04-01,75.0,4,2022
27,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,28,João Gabriel Santos,Arquiteto,74.0,2022-04-20,65.0,4,2022
28,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,29,Maria Vitória Barros,Eletricista,111.93,2022-03-06,94.0,3,2022
29,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,30,Luiz Henrique Caldeira,Eletricista,147.36,2022-01-13,75.0,1,2022
30,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,31,Vitor Hugo Fernandes,Pedreiro,104.94,2022-02-28,42.0,2,2022
31,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,32,Kamilly Moura,Encanador,107.54,2022-05-17,10.0,5,2022
32,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,33,Ana Clara Lopes,Pedreiro,95.02,2022-01-02,91.0,1,2022
33,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,34,Benício Cardoso,Engenheiro Civil,52.46,2022-06-08,44.0,6,2022
34,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,35,Pedro Miguel da Rosa,Arquiteto,79.14,2022-04-26,13.0,4,2022
35,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,36,Vitor Cunha,Engenheiro Civil,137.74,2022-05-06,60.0,5,2022
36,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,37,Lavínia da Costa,Pedreiro,110.98,2022-06-10,78.0,6,2022
37,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,38,Sr. João Guilherme Melo,Arquiteto,54.82,2022-04-02,48.0,4,2022
38,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,39,Bianca da Mota,Pedreiro,121.67,2022-02-15,31.0,2,2022
39,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,40,Dr. Enzo Dias,Encanador,75.04,2022-03-13,51.0,3,2022
40,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,41,Matheus Caldeira,Eletricista,146.97,2022-01-27,91.0,1,2022
41,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,42,Esther Ribeiro,Eletricista,95.31,2022-03-31,56.0,3,2022
42,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,43,Dr. Marcos Vinicius Pereira,Engenheiro Civil,58.74,2022-03-18,38.0,3,2022
43,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,44,Lucas Campos,Arquiteto,119.87,2022-05-21,78.0,5,2022
44,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,45,Sr. Matheus Ramos,Eletricista,129.96,2022-02-02,35.0,2,2022
45,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,46,Pedro Peixoto,Engenheiro Civil,118.17,2022-06-04,99.0,6,2022
46,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,47,Sarah Nogueira,Eletricista,105.81,2022-02-28,74.0,2,2022
47,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,48,Bianca Souza,Arquiteto,97.74,2022-01-09,75.0,1,2022
48,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,49,João Felipe Rocha,Encanador,104.05,2022-03-13,47.0,3,2022
49,1,2022-01-01,2022-06-13,228049.0,Infraestrutura,50,Fernando Porto,Engenheiro Civil,97.05,2022-04-22,52.0,4,2022
50,2,2022-01-01,2022-07-25,561161.5,Construção Civil,1,Davi Lucca Gomes,Pedreiro,88.66,2022-06-14,76.0,6,2022
51,2,2022-01-01,2022-07-25,561161.5,Construção Civil,2,Luiza Farias,Pedreiro,79.33,2022-07-15,46.0,7,2022
52,2,2022-01-01,2022-07-25,561161.5,Construção Civil,3,Sr. João Gabriel Novaes,Encanador,99.61,2022-05-01,77.0,5,2022
53,2,2022-01-01,2022-07-25,561161.5,Construção Civil,4,Sr. Kevin Farias,Encanador,93.42,2022-07-23,85.0,7,2022
54,2,2022-01-01,2022-07-25,561161.5,Construção Civil,5,Maria Fernanda Caldeira,Arquiteto,62.41,2022-06-12,92.0,6,2022
55,2,2022-01-01,2022-07-25,561161.5,Construção Civil,6,Heitor Sales,Engenheiro Civil,120.68,2022-06-01,31.0,6,2022
56,2,2022-01-01,2022-07-25,561161.5,Construção Civil,7,Felipe Pires,Pedreiro,79.18,2022-02-20,80.0,2,2022
57,2,2022-01-01,2022-07-25,561161.5,Construção Civil,8,Cauê da Luz,Engenheiro Civil,119.99,2022-05-06,25.0,5,2022
58,2,2022-01-01,2022-07-25,561161.5,Construção Civil,9,Maria Alice Cardoso,Engenheiro Civil,112.34,2022-07-22,23.0,7,2022
59,2,2022-01-01,2022-07-25,561161.5,Construção Civil,10,Dr. João Lucas Rodrigues,Pedreiro,56.35,2022-05-30,96.0,5,2022
60,2,2022-01-01,2022-07-25,561161.5,Construção Civil,11,Milena Martins,Engenheiro Civil,77.41,2022-03-16,81.0,3,2022
61,2,2022-01-01,2022-07-25,561161.5,Construção Civil,12,Sra. Brenda Melo,Arquiteto,145.4,2022-05-25,85.0,5,2022
62,2,2022-01-01,2022-07-25,561161.5,Construção Civil,13,Eloah Viana,Engenheiro Civil,111.07,2022-07-10,53.0,7,2022
63,2,2022-01-01,2022-07-25,561161.5,Construção Civil,14,Amanda Ribeiro,Encanador,62.47,2022-01-11,49.0,1,2022
64,2,2022-01-01,2022-07-25,561161.5,Construção Civil,15,Nicolas Almeida,Pedreiro,67.82,2022-07-19,82.0,7,2022
65,2,2022-01-01,2022-07-25,561161.5,Construção Civil,16,Yuri Freitas,Arquiteto,118.66,2022-01-05,61.0,1,2022
66,2,2022-01-01,2022-07-25,561161.5,Construção Civil,17,Bernardo da Conceição,Encanador,142.88,2022-06-23,56.0,6,2022
67,2,2022-01-01,2022-07-25,561161.5,Construção Civil,18,Larissa Ramos,Arquiteto,75.04,2022-04-13,58.0,4,2022
68,2,2022-01-01,2022-07-25,561161.5,Construção Civil,19,Lucas Gabriel Dias,Engenheiro Civil,94.59,2022-04-25,41.0,4,2022
69,2,2022-01-01,2022-07-25,561161.5,Construção Civil,20,Pedro Silveira,Encanador,135.31,2022-02-13,69.0,2,2022
70,2,2022-01-01,2022-07-25,561161.5,Construção Civil,21,Milena Alves,Engenheiro Civil,57.52,2022-02-16,80.0,2,2022
71,2,2022-01-01,2022-07-25,561161.5,Construção Civil,22,Helena Costa,Encanador,137.41,2022-05-28,84.0,5,2022
72,2,2022-01-01,2022-07-25,561161.5,Construção Civil,23,Noah Araújo,Engenheiro Civil,127.71,2022-07-09,19.0,7,2022
73,2,2022-01-01,2022-07-25,561161.5,Construção Civil,24,Laura Almeida,Pedreiro,54.43,2022-03-14,89.0,3,2022
74,2,2022-01-01,2022-07-25,561161.5,Construção Civil,25,João Pedro Porto,Pedreiro,119.64,2022-06-14,87.0,6,2022
75,2,2022-01-01,2022-07-25,561161.5,Construção Civil,26,Dr. Erick Aragão,Encanador,139.66,2022-02-25,79.0,2,2022
76,2,2022-01-01,2022-07-25,561161.5,Construção Civil,27,Emanuel Azevedo,Encanador,122.93,2022-02-06,99.0,2,2022
77,2,2022-01-01,2022-07-25,561161.5,Construção Civil,28,João Gabriel Santos,Arquiteto,74.0,2022-01-21,46.0,1,2022
78,2,2022-01-01,2022-07-25,561161.5,Construção Civil,29,Maria Vitória Barros,Eletricista,111.93,2022-02-02,94.0,2,2022
79,2,2022-01-01,2022-07-25,561161.5,Construção Civil,30,Luiz Henrique Caldeira,Eletricista,147.36,2022-01-23,78.0,1,2022
80,2,2022-01-01,2022-07-25,561161.5,Construção Civil,31,Vitor Hugo Fernandes,Pedreiro,104.94,2022-03-06,67.0,3,2022
81,2,2022-01-01,2022-07-25,561161.5,Construção Civil,32,Kamilly Moura,Encanador,107.54,2022-05-18,59.0,5,2022
82,2,2022-01-01,2022-07-25,561161.5,Construção Civil,33,Ana Clara Lopes,Pedreiro,95.02,2022-07-02,68.0,7,2022
83,2,2022-01-01,2022-07-25,561161.5,Construção Civil,34,Benício Cardoso,Engenheiro Civil,52.46,2022-07-14,90.0,7,2022
84,2,2022-01-01,2022-07-25,561161.5,Construção Civil,35,Pedro Miguel da Rosa,Arquiteto,79.14,2022-05-08,40.0,5,2022
85,2,2022-01-01,2022-07-25,561161.5,Construção Civil,36,Vitor Cunha,Engenheiro Civil,137.74,2022-01-21,38.0,1,2022
86,2,2022-01-01,2022-07-25,561161.5,Construção Civil,37,Lavínia da Costa,Pedreiro,110.98,2022-01-21,69.0,1,2022
87,2,2022-01-01,2022-07-25,561161.5,Construção Civil,38,Sr. João Guilherme Melo,Arquiteto,54.82,2022-05-12,33.0,5,2022
88,2,2022-01-01,2022-07-25,561161.5,Construção Civil,39,Bianca da Mota,Pedreiro,121.67,2022-05-03,76.0,5,2022
89,2,2022-01-01,2022-07-25,561161.5,Construção Civil,40,Dr. Enzo Dias,Encanador,75.04,2022-01-25,14.0,1,2022
